"species","kingdom","phylum","class"
"Tamiasciurus hudsonicus","Animalia","Chordata","Mammalia"
"Lobaria pulmonaria","Fungi","Ascomycota","Lecanoromycetes"
"Somateria mollissima","Animalia","Chordata","Aves"
"Branta canadensis","Animalia","Chordata","Aves"
"Larus argentatus","Animalia","Chordata","Aves"
"Spinus tristis","Animalia","Chordata","Aves"
"Charadrius semipalmatus","Animalia","Chordata","Aves"
"Zonotrichia albicollis","Animalia","Chordata","Aves"
"Polystichum acrostichoides","Plantae","Tracheophyta","Polypodiopsida"
"Claytosmunda claytoniana","Plantae","Tracheophyta","Polypodiopsida"
"Drosera rotundifolia","Plantae","Tracheophyta","Magnoliopsida"
"Cypripedium acaule","Plantae","Tracheophyta","Liliopsida"
"Dendrolycopodium obscurum","Plantae","Tracheophyta","Lycopodiopsida"
"Betula papyrifera","Plantae","Tracheophyta","Magnoliopsida"
"Viburnum lantanoides","Plantae","Tracheophyta","Magnoliopsida"
"Mitchella repens","Plantae","Tracheophyta","Magnoliopsida"
"Hamamelis virginiana","Plantae","Tracheophyta","Magnoliopsida"
"Gaylussacia baccata","Plantae","Tracheophyta","Magnoliopsida"
"Cornus canadensis","Plantae","Tracheophyta","Magnoliopsida"
"Phegopteris connectilis","Plantae","Tracheophyta","Polypodiopsida"
"Pinus strobus","Plantae","Tracheophyta","Pinopsida"
"Fagus grandifolia","Plantae","Tracheophyta","Magnoliopsida"
"Acer saccharum","Plantae","Tracheophyta","Magnoliopsida"
"Gaultheria procumbens","Plantae","Tracheophyta","Magnoliopsida"
"Osmundastrum cinnamomeum","Plantae","Tracheophyta","Polypodiopsida"
"Thuja occidentalis","Plantae","Tracheophyta","Pinopsida"
"Quercus rubra","Plantae","Tracheophyta","Magnoliopsida"
"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida"
"Maianthemum canadense","Plantae","Tracheophyta","Liliopsida"
"Pteridium aquilinum","Plantae","Tracheophyta","Polypodiopsida"
"Aralia nudicaulis","Plantae","Tracheophyta","Magnoliopsida"
"Gaultheria hispidula","Plantae","Tracheophyta","Magnoliopsida"
"Lysimachia borealis","Plantae","Tracheophyta","Magnoliopsida"
"Datana contracta","Animalia","Arthropoda","Insecta"
"Asterias rubens","Animalia","Echinodermata","Asteroidea"
"Strongylocentrotus droebachiensis","Animalia","Echinodermata","Echinoidea"
"Polypodium virginianum","Plantae","Tracheophyta","Polypodiopsida"
"Amauropelta noveboracensis","Plantae","Tracheophyta","Polypodiopsida"
"Celastrus orbiculatus","Plantae","Tracheophyta","Magnoliopsida"
"Pinus banksiana","Plantae","Tracheophyta","Pinopsida"
"Odocoileus virginianus","Animalia","Chordata","Mammalia"
"Chelifer cancroides","Animalia","Arthropoda","Arachnida"
"Vaccinium vitis-idaea","Plantae","Tracheophyta","Magnoliopsida"
"Sagina procumbens","Plantae","Tracheophyta","Magnoliopsida"
"Rhus typhina","Plantae","Tracheophyta","Magnoliopsida"
"Lasallia papulosa","Fungi","Ascomycota","Lecanoromycetes"
"Empetrum nigrum","Plantae","Tracheophyta","Magnoliopsida"
"Harmonia axyridis","Animalia","Arthropoda","Insecta"
"Juniperus horizontalis","Plantae","Tracheophyta","Pinopsida"
"Larus delawarensis","Animalia","Chordata","Aves"
"Monochamus scutellatus","Animalia","Arthropoda","Insecta"
"Stictoleptura canadensis","Animalia","Arthropoda","Insecta"
"Abies balsamea","Plantae","Tracheophyta","Pinopsida"
"Chondrus crispus","Plantae","Rhodophyta","Florideophyceae"
"Speyeria cybele","Animalia","Arthropoda","Insecta"
"Speyeria atlantis","Animalia","Arthropoda","Insecta"
"Viburnum opulus","Plantae","Tracheophyta","Magnoliopsida"
"Teucrium canadense","Plantae","Tracheophyta","Magnoliopsida"
"Istocheta aldrichi","Animalia","Arthropoda","Insecta"
"Vulpes vulpes","Animalia","Chordata","Mammalia"
"Quercus ilicifolia","Plantae","Tracheophyta","Magnoliopsida"
"Mythimna unipuncta","Animalia","Arthropoda","Insecta"
"Lysimachia quadrifolia","Plantae","Tracheophyta","Magnoliopsida"
"Lithobates catesbeianus","Animalia","Chordata","Amphibia"
"Echinarachnius parma","Animalia","Echinodermata","Echinoidea"
"Pelecinus polyturator","Animalia","Arthropoda","Insecta"
"Lysimachia terrestris","Plantae","Tracheophyta","Magnoliopsida"
"Clepsis persicana","Animalia","Arthropoda","Insecta"
"Acer rubrum","Plantae","Tracheophyta","Magnoliopsida"
"Imshaugia aleurites","Fungi","Ascomycota","Lecanoromycetes"
"Araneus nordmanni","Animalia","Arthropoda","Arachnida"
"Utricularia macrorhiza","Plantae","Tracheophyta","Magnoliopsida"
"Boletus ampliporus","Fungi","Basidiomycota","Agaricomycetes"
"Adelges tsugae","Animalia","Arthropoda","Insecta"
"Maianthemum racemosum","Plantae","Tracheophyta","Liliopsida"
"Ulota crispa","Plantae","Bryophyta","Bryopsida"
"Suillus spraguei","Fungi","Basidiomycota","Agaricomycetes"
"Onoclea sensibilis","Plantae","Tracheophyta","Polypodiopsida"
"Chytonix palliatricula","Animalia","Arthropoda","Insecta"
"Fomes fomentarius","Fungi","Basidiomycota","Agaricomycetes"
"Catharus guttatus","Animalia","Chordata","Aves"
"Ilex mucronata","Plantae","Tracheophyta","Magnoliopsida"
"Leucorrhinia frigida","Animalia","Arthropoda","Insecta"
"Sympetrum vicinum","Animalia","Arthropoda","Insecta"
"Bombus bimaculatus","Animalia","Arthropoda","Insecta"
"Lophocampa caryae","Animalia","Arthropoda","Insecta"
"Lepra amara","Fungi","Ascomycota","Lecanoromycetes"
"Pinus rigida","Plantae","Tracheophyta","Pinopsida"
"Macremphytus testaceus","Animalia","Arthropoda","Insecta"
"Sparganium americanum","Plantae","Tracheophyta","Liliopsida"
"Utricularia cornuta","Plantae","Tracheophyta","Magnoliopsida"
"Cerma cora","Animalia","Arthropoda","Insecta"
"Gavia immer","Animalia","Chordata","Aves"
"Araneus diadematus","Animalia","Arthropoda","Arachnida"
"Orgyia leucostigma","Animalia","Arthropoda","Insecta"
"Callopistria cordata","Animalia","Arthropoda","Insecta"
"Sporobolus michauxianus","Plantae","Tracheophyta","Liliopsida"
"Rosa rugosa","Plantae","Tracheophyta","Magnoliopsida"
"Brachyleptura vagans","Animalia","Arthropoda","Insecta"
"Dryophytes versicolor","Animalia","Chordata","Amphibia"
"Dianthus deltoides","Plantae","Tracheophyta","Magnoliopsida"
"Strangalepta abbreviata","Animalia","Arthropoda","Insecta"
"Lasioglossum acuminatum","Animalia","Arthropoda","Insecta"
"Agrilus ruficollis","Animalia","Arthropoda","Insecta"
"Suillus cavipes","Fungi","Basidiomycota","Agaricomycetes"
"Aeolidia papillosa","Animalia","Mollusca","Gastropoda"
"Trifolium campestre","Plantae","Tracheophyta","Magnoliopsida"
"Laminaria digitata","Chromista","Ochrophyta","Phaeophyceae"
"Amelanchier nantucketensis","Plantae","Tracheophyta","Magnoliopsida"
"Neckera pennata","Plantae","Bryophyta","Bryopsida"
"Bucephala albeola","Animalia","Chordata","Aves"
"Kalmia angustifolia","Plantae","Tracheophyta","Magnoliopsida"
"Fomitopsis betulina","Fungi","Basidiomycota","Agaricomycetes"
"Testudinalia testudinalis","Animalia","Mollusca","Gastropoda"
"Solidago simplex","Plantae","Tracheophyta","Magnoliopsida"
"Speyeria aphrodite","Animalia","Arthropoda","Insecta"
"Boreus nivoriundus","Animalia","Arthropoda","Insecta"
"Mergus serrator","Animalia","Chordata","Aves"
"Podiceps auritus","Animalia","Chordata","Aves"
"Rhododendron canadense","Plantae","Tracheophyta","Magnoliopsida"
"Andromeda polifolia","Plantae","Tracheophyta","Magnoliopsida"
"Phragmites australis","Plantae","Tracheophyta","Liliopsida"
"Retiboletus ornatipes","Fungi","Basidiomycota","Agaricomycetes"
"Pirata montanus","Animalia","Arthropoda","Arachnida"
"Malacosoma americana","Animalia","Arthropoda","Insecta"
"Phyllotopsis nidulans","Fungi","Basidiomycota","Agaricomycetes"
"Xanthoria elegans","Fungi","Ascomycota","Lecanoromycetes"
"Xanthoria parietina","Fungi","Ascomycota","Lecanoromycetes"
"Clangula hyemalis","Animalia","Chordata","Aves"
"Bombus ternarius","Animalia","Arthropoda","Insecta"
"Lobelia inflata","Plantae","Tracheophyta","Magnoliopsida"
"Dissosteira carolina","Animalia","Arthropoda","Insecta"
"Larus smithsonianus","Animalia","Chordata","Aves"
"Sitta canadensis","Animalia","Chordata","Aves"
"Accipiter striatus","Animalia","Chordata","Aves"
"Picea glauca","Plantae","Tracheophyta","Pinopsida"
"Ribes glandulosum","Plantae","Tracheophyta","Magnoliopsida"
"Phoca vitulina","Animalia","Chordata","Mammalia"
"Hieracium umbellatum","Plantae","Tracheophyta","Magnoliopsida"
"Bombycilla garrulus","Animalia","Chordata","Aves"
"Tsuga canadensis","Plantae","Tracheophyta","Pinopsida"
"Comptonia peregrina","Plantae","Tracheophyta","Magnoliopsida"
"Umbilicaria muhlenbergii","Fungi","Ascomycota","Lecanoromycetes"
"Lontra canadensis","Animalia","Chordata","Mammalia"
"Pagurus acadianus","Animalia","Arthropoda","Malacostraca"
"Thamnophis sirtalis","Animalia","Chordata","Squamata"
