"global.unique.identifier","last.edited.date","taxonomic.order","category","taxon.concept.id","common.name","scientific.name","subspecies.common.name","subspecies.scientific.name","exotic.code","observation.count","breeding.code","breeding.category","behavior.code","age.sex","country","country.code","state","state.code","county","county.code","iba.code","bcr.code","usfws.code","atlas.block","locality","locality.id","locality.type","observation.date","time.observations.started","observer.id","sampling.event.identifier","protocol.type","protocol.code","project.code","duration.minutes","effort.distance.km","effort.area.ha","number.observers","all.species.reported","group.identifier","has.media","approved","reviewed","reason","trip.comments","species.comments","longitude","latitude","listing.status"
"URN:CornellLabOfOrnithology:EBIRD:OBS140111462","2023-09-20 10:53:01.042628",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1978-08-10","","obsr7894","S9884339","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"life birds only","",-68.2733291,44.3385984,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS536071833","2017-09-26 16:02:50",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"4","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Bass Harbor Marsh","L1533556","H","1978-08-10","","obsr60335","S39406387","Historical","P62","EBIRD",NA,NA,NA,15,0,"",0,1,0,NA,"Wings trip","Wings trip",-68.3407102,44.2533766,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS278383362","2019-11-22 14:13:16",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Bar Island","L3027190","H","1981-08-08","10:00:00","obsr199722","S20370380","Historical","P62","EBIRD",NA,NA,NA,3,0,"",0,1,0,NA,"Peter Feinberg and Kris Marshall. Start time is only approximate and listed to maintain location sequence.","",-68.2063437,44.3985285,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS1043132787","2023-09-20 10:53:01.042628",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"10","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1984-09-05","07:00:00","obsr52592","S78569215","Traveling","P22","EBIRD",540,19.312,NA,2,1,"",0,1,0,NA,"I id not have specific location names in my notes so using a generic Acadia NP. Cloudy morning, clearing in the PM. 50-65 degrees and light winds.","",-68.2733291,44.3385984,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS1078425095","2023-10-29 15:48:06.62512",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Point","L865421","H","1989-07-14","08:00:00","obsr2121156","S81972735","Traveling","P22","EBIRD",420,4,NA,2,1,"",0,1,1,NA,"","",-68.0603456,44.3324746,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS870544197","2024-05-02 22:57:51.490974",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Otter Point","L781797","H","1989-09-02","","obsr499968","S65071175","Historical","P62","EBIRD",NA,NA,NA,3,1,"",0,1,0,NA,"","",-68.1901217,44.3072668,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS906889792","2024-05-07 06:42:55.041407",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1990-07-10","","obsr316297","S68097622","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,NA,"Holiday in Maine long ago","",-68.2733291,44.3385984,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS423231245","2024-04-17 16:55:51.422321",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Great Head","L1019000","H","2002-07-10","10:00:00","obsr790693","S31085591","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"Life List","",-68.1741893,44.3289251,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS1603368202","2023-01-31 17:53:41.999059",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"","Ship Island, ME","L11362312","P","2004-06-01","","obsr171663","S68590229","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,1,NA,"Not actual date in Jun","",-68.4406944,44.2340934,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS153001736","2017-11-28 11:08:12",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"","SHIP I","L1469332","P","2004-06-12","","obsr176427","S10754519","International Shorebird Survey (ISS)","P74","EBIRD",NA,NA,NA,1,0,"",0,1,1,NA,"ISS SiteCode: MEZsj1;State of Maine Data; birds: Feeding primarily; tide: is high;start time:07:30","",-68.4410762,44.2341432,"federally threatened"
