"id","observed.on.string","observed.on","time.observed.at","time.zone","user.id","user.login","user.name","created.at","updated.at","quality.grade","license","url","image.url","sound.url","tag.list","captive.cultivated","place.guess","latitude","longitude","positional.accuracy","private.place.guess","private.latitude","private.longitude","public.positional.accuracy","geoprivacy","taxon.geoprivacy","coordinates.obscured","positioning.method","positioning.device","species.guess","scientific.name","common.name","iconic.taxon.name","taxon.id","taxon.family.name","taxon.genus.name","taxon.species.name","listing.status"
384542,"2013-08-07 12:03:02","2013-08-07","2013-08-07 16:03:02 UTC","Eastern Time (US & Canada)",19073,"choess","Chris Hoess","2013-09-01 05:44:59 UTC","2020-09-14 13:18:01 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/384542","https://inaturalist-open-data.s3.amazonaws.com/photos/480538/medium.jpg","","","false","Acadia National Park",44.326811,-68.286973,10,NA,NA,NA,10,"","","false","","","Common Heather","Calluna vulgaris","common heather","Plantae",119450,"Ericaceae","Calluna","Calluna vulgaris","invasive/pest/disease"
468183,"2010-10-06 11:27:13","2010-10-06","2010-10-06 16:27:13 UTC","Central Time (US & Canada)",25924,"dwboston","David W. Boston","2013-11-26 05:27:00 UTC","2017-06-02 20:52:25 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/468183","https://static.inaturalist.org/photos/590700/medium.jpg","","","false","Jordan Pond, Acadia National Park, Maine, USA",44.321944,-68.254722,1,NA,NA,NA,1,"","","false","","","Oriental Bittersweet","Celastrus orbiculatus","Oriental bittersweet","Plantae",64540,"Celastraceae","Celastrus","Celastrus orbiculatus","invasive/pest/disease"
801772,"Sat Jul 19 2014 17:16:37 GMT-0400 (EDT)","2014-07-19","2014-07-19 21:16:37 UTC","Eastern Time (US & Canada)",15723,"reallifeecology","Jonathan (JC) Carpenter","2014-07-25 20:54:24 UTC","2016-09-20 21:10:11 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/801772","https://inaturalist-open-data.s3.amazonaws.com/photos/1009851/medium.jpg","","","false","",44.338423,-68.060099,5,NA,NA,NA,5,"","","false","","","Common Bird's-foot-trefoil","Lotus corniculatus","bird's-foot trefoil","Plantae",47435,"Fabaceae","Lotus","Lotus corniculatus","invasive/pest/disease"
801784,"Sat Jul 19 2014 17:59:37 GMT-0400 (EDT)","2014-07-19","2014-07-19 21:59:37 UTC","Eastern Time (US & Canada)",15723,"reallifeecology","Jonathan (JC) Carpenter","2014-07-25 20:54:28 UTC","2017-07-03 20:26:40 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/801784","https://inaturalist-open-data.s3.amazonaws.com/photos/1009864/medium.jpg","","","false","Acadia National Park, Winter Harbor, ME, US",44.332696,-68.060925,5,NA,NA,NA,5,"","","false","","","Bittersweet Nightshade","Solanum dulcamara","bittersweet nightshade","Plantae",55620,"Solanaceae","Solanum","Solanum dulcamara","invasive/pest/disease"
1726295,"2015-06-13","2015-06-13","","Central Time (US & Canada)",9531,"kucycads","Kenneth Bader","2015-07-05 18:47:40 UTC","2015-07-05 21:15:31 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1726295","https://inaturalist-open-data.s3.amazonaws.com/photos/2091643/medium.JPG","","","false","Acadia National Park",44.327931,-68.185058,95,NA,NA,NA,95,"","","false","","","Rugosa Rose","Rosa rugosa","rugosa rose","Plantae",83653,"Rosaceae","Rosa","Rosa rugosa","invasive/pest/disease"
1726722,"2015-06-15","2015-06-15","","Central Time (US & Canada)",9531,"kucycads","Kenneth Bader","2015-07-05 21:21:24 UTC","2016-06-29 22:29:05 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1726722","https://inaturalist-open-data.s3.amazonaws.com/photos/2092179/medium.JPG","","","false","Schoodic Peninsula, Acadia National Park",44.332341,-68.061075,184,NA,NA,NA,184,"","","false","","","Rosa rugosa","Rosa rugosa","rugosa rose","Plantae",83653,"Rosaceae","Rosa","Rosa rugosa","invasive/pest/disease"
1843464,"2015-07-18","2015-07-18","","Pacific Time (US & Canada)",91922,"avocat","","2015-08-08 14:17:52 UTC","2020-07-20 17:16:19 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1843464","https://inaturalist-open-data.s3.amazonaws.com/photos/2240421/medium.jpg","","","false","Jordan Pond, Acadia National Park, Maine",44.32361,-68.250043,380,NA,NA,NA,380,"","","false","","","Common Bird's-foot-trefoil","Lotus corniculatus","bird's-foot trefoil","Plantae",47435,"Fabaceae","Lotus","Lotus corniculatus","invasive/pest/disease"
1847475,"2015-07-20","2015-07-20","","Pacific Time (US & Canada)",91922,"avocat","","2015-08-09 17:58:32 UTC","2016-12-16 02:22:47 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1847475","https://inaturalist-open-data.s3.amazonaws.com/photos/2245329/medium.jpg","","","false","Wonderland, Acadia National Park, Maine",44.231868,-68.316121,380,NA,NA,NA,380,"","","false","","","roses","Rosa rugosa","rugosa rose","Plantae",83653,"Rosaceae","Rosa","Rosa rugosa","invasive/pest/disease"
1847478,"2015-07-20","2015-07-20","","Pacific Time (US & Canada)",91922,"avocat","","2015-08-09 17:58:21 UTC","2019-01-05 02:19:35 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1847478","https://inaturalist-open-data.s3.amazonaws.com/photos/2245334/medium.jpg","","","false","Wonderland, Acadia National Park, Maine",44.231868,-68.316121,380,NA,NA,NA,380,"","","false","","","rugosa rose","Rosa rugosa","rugosa rose","Plantae",83653,"Rosaceae","Rosa","Rosa rugosa","invasive/pest/disease"
1847584,"2015-07-20","2015-07-20","","Pacific Time (US & Canada)",91922,"avocat","","2015-08-09 18:22:46 UTC","2018-11-26 05:08:16 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1847584","https://inaturalist-open-data.s3.amazonaws.com/photos/2245454/medium.jpg","","","false","Bar Island Acadia National Park, Maine",44.397124,-68.207996,359,NA,NA,NA,359,"","","false","","","Large-leaved lupine","Lupinus polyphyllus","Large-leaved lupine","Plantae",59549,"Fabaceae","Lupinus","Lupinus polyphyllus","invasive/pest/disease"
3118588,"Sat May 07 2016 11:08:15 GMT-0400 (EDT)","2016-05-07","2016-05-07 15:08:15 UTC","Eastern Time (US & Canada)",228876,"theamarie","Thea Marie","2016-05-07 15:09:15 UTC","2016-09-20 21:19:07 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/3118588","https://inaturalist-open-data.s3.amazonaws.com/photos/3606296/medium.jpg","","","false","04609, Bar Harbor, ME, US",44.3758788379,-68.1922366564,5,NA,NA,NA,5,"","","false","","","Garden lupine","Lupinus polyphyllus","Large-leaved lupine","Plantae",59549,"Fabaceae","Lupinus","Lupinus polyphyllus","invasive/pest/disease"
